tweet_id,tweet_id_str,tweet_text_short,created_at,derived_URL,source,truncated,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,is_quote_status,retweet_count,tweet_language,user_id,user_id_str,name,screen_name,location,derived_account_url,profile_link,user_description,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,date_user_created,user_utc_offset,user_time_zone,geo_enabled,user_lang,contributors_enabled,is_translator,default_profile,default_profile_image,favorite_count,parsed_user_mentions_id,parsed_user_mentions_screen_name,possibly_sensitive,url_in_tweet,tweepy_search_term,cashtags,hashtags
1512209938894180352,1512209938894180352,"From FoolComAu " 2 great ASX shares to buy in April: experts " published 8/4/2022 $ARR $TPW $VHT #Markets #ASX… https://t.co/G41RI6a3nJ","2022-04-07 23:25:19",https://www.twitter.com/BluHrvstDigital/status/1512209938894180352,"Blue Harvest Digital",1,NULL,NULL,NULL,0,1,en,937004122456276992,937004122456276992,"Blue Harvest Digital",BluHrvstDigital,"Perth, Western Australia",https://www.twitter.com/BluHrvstDigital,NULL,"First with #ASX #News

Join now to discover what moves markets. https://t.co/xtDt7YbobA

#botpowered (mostly)",0,0,920,55,9,1003,71792,"2017-12-02 17:02:46",NULL,NULL,0,NULL,0,0,0,0,0,,,0,https://twitter.com/i/web/status/1512209938894180352,$ARR,NULL,NULL
1512211878445187075,1512211878445187075,"#ASX $CMM Ann: Strong Results Returned From Early Drilling at Mt Gibson - 8th Apr 2022, 9:12am. Discuss now on our… https://t.co/8xTeIcFAUE","2022-04-07 23:33:02",https://www.twitter.com/zeeb0t/status/1512211878445187075,"TSE Discussion Forums",1,NULL,NULL,NULL,0,0,en,1448605642780921860,1448605642780921860,"The Stock Exchange Forum",zeeb0t,,https://www.twitter.com/zeeb0t,https://t.co/2FBtwRxO5l,"An online community of Aussie stock traders exchanging opinions & research on Australian stocks. #asx #stocks #shares #forum",0,0,239,19,1,41,2756,"2021-10-14 11:05:00",NULL,NULL,0,NULL,0,0,1,0,0,,,0,https://twitter.com/i/web/status/1512211878445187075,$CMM,NULL,NULL
1512217001585885184,1512217001585885184,"@finder_energy $FDR to list 08.30am. 1 of largest acreage holders NW shelf of Aus, ground on trend from $CVN $STO D… https://t.co/EZ4FL6G3cS","2022-04-07 23:53:23",https://www.twitter.com/NicBrownbill1/status/1512217001585885184,"Twitter for iPhone",1,finder_energy,NULL,1329273866242326529,0,3,en,1072315627371544577,1072315627371544577,"Nic Brownbill",NicBrownbill1,"Perth, Western Australia",https://www.twitter.com/NicBrownbill1,https://t.co/qjthPD1hIv,"Director @jpequitypartner | Corporate Advisor | Tweets are my personal opinion, not investment advice.",0,0,619,246,2,803,208,"2018-12-11 02:22:23",NULL,NULL,1,NULL,0,0,1,0,11,1329273866242326529,finder_energy,0,https://twitter.com/i/web/status/1512217001585885184,$CVN,NULL,NULL
1512218926666907648,1512218926666907648,"#ASX $BRL Ann: Early redemption notice given to convertible bond holders - 8th Apr 2022, 9:39am. Discuss now on our… https://t.co/QPos8qxcfd","2022-04-08 00:01:02",https://www.twitter.com/zeeb0t/status/1512218926666907648,"TSE Discussion Forums",1,NULL,NULL,NULL,0,0,en,1448605642780921860,1448605642780921860,"The Stock Exchange Forum",zeeb0t,,https://www.twitter.com/zeeb0t,https://t.co/2FBtwRxO5l,"An online community of Aussie stock traders exchanging opinions & research on Australian stocks. #asx #stocks #shares #forum",0,0,239,19,1,41,2756,"2021-10-14 11:05:00",NULL,NULL,0,NULL,0,0,1,0,0,,,0,https://twitter.com/i/web/status/1512218926666907648,$BRL,NULL,NULL
1512219021005176834,1512219021005176834,"@BryahRes Here goes $BYH!","2022-04-08 00:01:24",https://www.twitter.com/Christophe_Qld/status/1512219021005176834,TweetDeck,0,Christophe_Qld,1512214864261173248,789774749924679680,0,0,en,789774749924679680,789774749924679680,Christophe,Christophe_Qld,"Queensland, Australia",https://www.twitter.com/Christophe_Qld,NULL,"Share Trader/Investor
Retail Investor not a 708",0,0,3314,620,46,58063,15123,"2016-10-22 10:25:48",NULL,NULL,0,NULL,0,0,1,0,2,819773500349030400,BryahRes,,,$BYH,NULL,NULL
